Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
0.0,No matching concept,No matching concept,Undefined,Metadata,,Valid,Non-standard,48250
,No matching concept,NULL value,Undefined,Metadata,,Valid,Standard,25967
317576.0,53741008,Coronary arteriosclerosis,Disorder,Condition,SNOMED,Valid,Standard,602
4311499.0,93986008,Primary malignant neoplasm of respiratory tract,Disorder,Condition,SNOMED,Valid,Standard,505
4182210.0,52448006,Dementia,Disorder,Condition,SNOMED,Valid,Standard,359
255573.0,13645005,Chronic obstructive pulmonary disease,Disorder,Condition,SNOMED,Valid,Standard,280
312327.0,57054005,Acute myocardial infarction,Disorder,Condition,SNOMED,Valid,Standard,212
255848.0,233604007,Pneumonia,Disorder,Condition,SNOMED,Valid,Standard,190
132797.0,91302008,Sepsis,Disorder,Condition,SNOMED,Valid,Standard,170
380055.0,93727008,Primary malignant neoplasm of brain,Disorder,Condition,SNOMED,Valid,Standard,166
704996.0,OMOP4912978,Patient meets COVID-19 laboratory diagnostic criteria,Clinical Finding,Observation,OMOP Extension,Valid,Standard,149
197500.0,93761005,Primary malignant neoplasm of colon,Disorder,Condition,SNOMED,Valid,Standard,116
4064161.0,19943007,Cirrhosis of liver,Disorder,Condition,SNOMED,Valid,Standard,112
443611.0,433146000,Chronic kidney disease stage 5,Disorder,Condition,SNOMED,Valid,Standard,109
199754.0,372003004,Primary malignant neoplasm of pancreas,Disorder,Condition,SNOMED,Valid,Standard,108
443392.0,363346000,Malignant neoplastic disease,Disorder,Condition,SNOMED,Valid,Standard,106
378419.0,26929004,Alzheimer's disease,Disorder,Condition,SNOMED,Valid,Standard,104
4187218.0,415126001,Pneumonitis caused by inhaled substance,Disorder,Condition,SNOMED,Valid,Standard,99
316139.0,84114007,Heart failure,Disorder,Condition,SNOMED,Valid,Standard,99
321319.0,85898001,Cardiomyopathy,Disorder,Condition,SNOMED,Valid,Standard,98
436583.0,1912002,Fall,Event,Observation,SNOMED,Valid,Standard,96
43530727.0,291571000119106,Spontaneous cerebral hemorrhage,Disorder,Condition,SNOMED,Valid,Standard,89
4110056.0,196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disorder,Condition,SNOMED,Valid,Standard,82
4108832.0,195080001,Atrial fibrillation and flutter,Disorder,Condition,SNOMED,Invalid,Non-standard,81
4152384.0,315615007,Non-rheumatic aortic sclerosis,Disorder,Condition,SNOMED,Valid,Standard,74
4110961.0,194849004,Generalized ischemic myocardial dysfunction,Disorder,Condition,SNOMED,Valid,Standard,74
